Action,Identifier Field,Record Type,Dublin Core:Identifier,File
Update,Dublin Core:Identifier,Item,KYR-0001-001-0001,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0001.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0002,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0002.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0003,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0003.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0004,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0004.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0005,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0005.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0006,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0006.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0007,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0007.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0008,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0008.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0009,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0009.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0010,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0010.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0011,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0011.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0012,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0012.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0013,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0013.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0014,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0014.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-001-0015,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-001-0015.pdf